Processo;Contramarca;Navio;IMO;ATA;ETD;Bandeira;Tipo Navio;Agente Navegacao;Porto Seguinte;Porto Procedente;Motivo Escala;Local Atribuido;Morada Agente;Telefone Agente;Email Agente;Indicativo Chamada;GT;TAL;Comprimento;Calado Maximo;Porto Registo;Armador;Nome Anterior;Tipo;TAB;DWT;Boca Sinal;Velocidade Maxima;Tipo Trafego;Certificado Verde;Data Construcao;Capacidade Teus
LIS201701626;""04012017001631"";SVITZER LEIXÕES;8000848;2017-08-15 09:59;2018-07-15 14:00;Portugal;Rebocador;OREY COMERCIO NAVEGACAO,SA;CADIZ;AVEIRO;21 - ESTACIONAMENTO EM CAIS;130 - CAIS SUL DA DOCA DE ALCANTARA;Rua Castilho , 14 – 4º;""210958272"";lisboa@orey-shipping.com;PELC;255;0;28.7;4;PTLIS;SVITZER PORTUGAL - REBOQUES MARITIMOS SA;;431;76;194;9;12;5;OUTROS;Tue Jul 08 00:00:00 GMT 1980;0
LIS201700178;""04012017000176"";SVITZER VIANA;8117483;2017-02-01 13:31;2017-02-16 17:00;Portugal;Rebocador;OREY COMERCIO NAVEGACAO,SA;ALTO  MAR;IJMUIDEN (YMUIDEN);21 - ESTACIONAMENTO EM CAIS;125 - ECLUSA/TERMINAL DE PASSAGEIROS ROCHA;Rua Castilho , 14 – 4º;""210958272"";lisboa@orey-shipping.com;CSZG3;252;0;28.7;4;PTLIS;SVITZER PORTUGAL - REBOQUES MARITIMOS SA;;431;0;192;9.3;0;2;CA;undefined;0
LIS201602017;""04012016002028"";FRONHAS;2223822;2016-11-05 15:45;2017-01-02 03:00;Portugal;Batelão sem propulsão de convés;ICC-AGENCIA NAVEG TRANSP TERRESTRES SA;ALTO  MAR;CASABLANCA;40 - TREM DE REBOQUE - REBOCADO;405 - CARREIRAS DE REPARAÇÃO NAVAL - SOMAGUE;Av. do Atlântico, nr.16,  3ºpiso, sala 3.03;""00351218686714"";Operations-lisb@icc-navegacao.pt;LX-145-AL;359;0;50.06;1;PTLIS;SOMAGUE ENGENHARIA, S.A.;;341;158;600;11.06;0;5;C69;Sat Jan 01 00:00:00 GMT 1977;0
LIS201601793;""04012016001804"";ALA;2223269;2016-09-30 13:28;2016-10-05 16:00;Portugal;Rebocador;OREY COMERCIO NAVEGACAO,SA;SETUBAL;SETUBAL;28 - REPARAÇÃO PROGRAMADA EM ESTALEIRO;620 - ESTALEIRO JORGE DIONÍSIO/TALAMINHO;Rua Castilho , 14 – 4º;""210958272"";lisboa@orey-shipping.com;CSZA;86;0;22.3;4;PTLIS;RESISTENCIA-SERV.A NAVEGAÇÃO LDA.;;431;0;8555;5.54;0;2;;undefined;0
LIS201402823;""04012014002837"";FUNCHAL;5124162;2015-01-02 12:34;2015-01-31 18:00;Portugal;CRUZEIROS;ARENTHERN - AG NAVEG SOC UNIP LDA;PORTO DESCONHECIDO;FUNCHAL;33 - TURISMO;350 - PONTE CAIS DA MATINHA;Edifício Lisboa Oriente, Av. Infante D. Henrique, 333, Edifício 4 Piso 5, Escritório 62;""211531178"";ssantos@incargo.pt;CSBM;9563;0;154.6;6.5;PTM6E;TEAMSON, LDA.;;361;3759;2975;19.05;15;1;CA;Sun Jan 01 00:00:00 GMT 1961;0
LIS201402708;""04012014002726"";HACININ AHMET;7500554;2014-12-12 17:11;2014-12-22 17:00;Turquia;Misto - Carga geral / Contentores;BENSAUDE-AGENTES DE NAVEGACAO LDA;PORTO DESCONHECIDO;PONTA DELGADA;40 - TREM DE REBOQUE - REBOCADO;720 - PONT-CAIS BAPTISTA & IRMÃOS/ALH. VEDROS;Praça Europa, nº2  Cais do Sodré;""00351213243620 "";pedro.cardoso@bensaude.pt;TCCO;4446;0;108.7;4.2;TRIST;BATISTAS- RECICLAGEM DE SUCATAS,SA;;339;2450;6322;17.05;16;1;;Sun Jan 01 00:00:00 GMT 1984;0
LIS201402299;""04012014002313"";MARINA DE ANGRA;2223421;2014-10-22 10:57;2015-12-31 12:00;Portugal;Batelão sem propulsão de carga seca n.d.;ICC-AGENCIA NAVEG TRANSP TERRESTRES SA;ALTO  MAR;ALTO  MAR;40 - TREM DE REBOQUE - REBOCADO;405 - CARREIRAS DE REPARAÇÃO NAVAL - SOMAGUE;Av. do Atlântico, nr.16,  3ºpiso, sala 3.03;""00351218686714"";Operations-lisb@icc-navegacao.pt;LX316AL;350;0;42.6;1;PTLIS;SOMAGUE - ENGENHARIA, SA;;349;105;350;11.6;0;5;;Thu Mar 01 00:00:00 GMT 1990;0
LIS201401679;""04012014001694"";ARCO;7110696;2014-08-11 10:23;2014-08-14 14:30;Portugal;Não Discriminado;OREY COMERCIO NAVEGACAO,SA;ALTO  MAR;FUNCHAL;40 - TREM DE REBOQUE - REBOCADO;720 - PONT-CAIS BAPTISTA & IRMÃOS/ALH. VEDROS;Rua Castilho , 14 – 4º;""210958272"";lisboa@orey-shipping.com;FN65AL;1862;0;80.45;3.2;PTFNC;;;499;558;2703;14.13;0;1;;Fri Jan 01 00:00:00 GMT 1971;0
LIS201401672;""04012014001687"";BEN EADAR;7305875;2014-08-08 19:04;2015-12-30 23:00;Vanuatu;Rebocador;OREY COMERCIO NAVEGACAO,SA;SETUBAL;SETUBAL;40 - TREM DE REBOQUE - REBOCADO;620 - ESTALEIRO JORGE DIONÍSIO/TALAMINHO;Rua Castilho , 14 – 4º;""210958272"";lisboa@orey-shipping.com;YJRS9;198;0;29.11;4;VUVLI;APRA&C COMPRA, VENDA E ALUGUER DEEMBARCACOES, LDA;;431;0;0;9.35;0;2;;undefined;0
LIS201302308;""04012013002303"";WILLI S;2224341;2013-10-10 14:46;2013-10-18 15:00;Belize;BATELÃO CISTERNA;PMS - PORTUGUESE MARIT AGENCY LDA;LAGOS;AMSTERDAM;40 - TREM DE REBOQUE - REBOCADO;165 - ESTALEIRO NAVAL DA ROCHA;Rua Amélia Rey Colaço, Nº 40, Sala 25;""213405484"";jprata@pmsagency.pt;XXXXX;845;0;99.82;1.5;BZBZE;SIGAB OIL & MARINE SERVICES LTD;;104;0;845;9.5;8;1;CA;Tue Jan 01 00:00:00 GMT 1963;0
LIS201301152;""04012013001145"";SVITZER FUNCHAL;8714255;2013-05-24 20:50;2015-12-30 21:00;Romenia;Rebocador;OREY COMERCIO NAVEGACAO,SA;SETUBAL;MALTA (VALETTA);21 - ESTACIONAMENTO EM CAIS;125 - ECLUSA/TERMINAL DE PASSAGEIROS ROCHA;Rua Castilho , 14 – 4º;""210958272"";lisboa@orey-shipping.com;YQPY;429;128;33.3;4.5;ROCND;EXOTIC STYLE SRL;;431;429;210;10;0;3;CS;Thu Feb 05 00:00:00 GMT 1998;0
LIS201301140;""04012013001133"";VENCEDORA;2223053;2013-05-23 09:50;2013-06-30 11:00;Portugal;Submersíveis / Plataformas / Estruturas Diversas;PORTMAR-AGENCIA DE NAVEGACAO LDA;PORTO DESCONHECIDO;FIGUEIRA DA FOZ;40 - TREM DE REBOQUE - REBOCADO;300 - CAIS DO POÇO DO BISPO / TMPB;Rua da Cintura do Porto de Lisboa, Armazém 20 – 2º Piso;""218391880"";lisboa.office@portmar.pt;;241;0;27.4;1;PTLIS;ETE;;999;0;0;0;0;5;;Mon Jan 01 00:00:00 GMT 1990;0
LIS201300884;""04012013000880"";SAFADO;7004732;2013-04-25 01:42;2015-12-30 20:00;Portugal;Rebocador;OREY COMERCIO NAVEGACAO,SA;ALTO  MAR;PENICHE;21 - ESTACIONAMENTO EM CAIS;CAIS NORTE DA DOCA DE ALCANTARA;Rua Castilho , 14 – 4º;""210958272"";lisboa@orey-shipping.com;CUJV;123;0;25.76;2.2;PTSET;;;431;13;24;7.42;12;5;;Thu May 01 00:00:00 GMT 1969;0
LIS200901550;"""";SÉ;9166596;2009-06-21 16:35;2009-09-21 17:00;Portugal;Passageiros não discriminado;TRANSTEJO TRANSPORTES TEJO,SA;FIGUEIRA DA FOZ;FIGUEIRA DA FOZ;21 - ESTACIONAMENTO EM CAIS;ESTAÇÃO FLUVIAL DE CACILHAS;R.CINTURA PORTO LISBOA;""212729711"";;CSIG;460;0;48.25;1.1;PTLIS;TRANSTEJO TRANSPORTES TEJO,SA;;359;176;63;11.8;23;5;;Thu Jan 01 00:00:00 GMT 1998;0
LIS200702791;""04012007002699"";S. JULIAO;9155779;2007-10-11 19:16;2007-11-30 20:00;Portugal;Passageiros não discriminado;TRANSTEJO TRANSPORTES TEJO,SA;FIGUEIRA DA FOZ;FIGUEIRA DA FOZ;21 - ESTACIONAMENTO EM CAIS;ESTAÇÃO FLUVIAL DE CACILHAS;R.CINTURA PORTO LISBOA;""212729711"";;CSKW;460;0;43.11;1.1;PTLIS;TRANSTEJO TRANSPORTES TEJO,SA;;359;176;60;11.79;0;5;;Wed Jan 01 00:00:00 GMT 1997;0
PTLIS123002333;""04012023002330"";LAURA S;9157868;2023-12-18 06:49;2023-12-19 22:00;Portugal;Porta-Contentores;Pmar - Navegação, Lda;Leixões;Ponta Delgada;Descarga / Carga;TERMINAL MULTIPURPOSE DE LISBOA;Avenida do Mar e das Comunidades Madeirenses, nº 21, 3º;""291 210 365"";lsousa@gruposousa.pt;CQYK;5850;2835;119.65;6;PTM6E;GS Lines – Transportes Marítimos LDA;;511;0;6770;20.63;15;4;ISP;Sun Oct 01 00:00:00 GMT 1995;0
PTLIS123000115;""04012023000115"";PORTUGS SINES;8513754;2023-04-06 09:51;2024-12-31 20:00;Portugal;Navio rebocador de outros navios;ICC - Agência de Navegação e Transportes Terrestres, S.A.;Portos Desconhecidos / Alto Mar (Ao Largo);Sines;Trem de Reboque - Rebocador Nacional;ECLUSA/TERMINAL DE PASSAGEIROS ROCHA;Av. do Atlântico, nr.16,  3ºpiso, sala 3.03;""00351218686714"";Operations-lisb@icc-navegacao.pt;CSYI4;256;0;28.9;3.85;PTLIS;PORTUGS II - REBOQUES MARITIMOS SA;;73;76;179;9.05;0;5;CA;Wed Jan 01 00:00:00 GMT 1986;0
PTLIS123002317;""04012023002309"";REBECCA S;9428205;2023-12-17 10:28;2023-12-19 22:00;Portugal;Porta-Contentores;Pmar - Navegação, Lda;Caniçal;Porto Santo;Descarga / Carga;TERMINAL MULTIPURPOSE DE LISBOA;Avenida do Mar e das Comunidades Madeirenses, nº 21, 3º;""291 210 365"";lsousa@gruposousa.pt;CQAX3;7584;3165;129.65;6;PTM6E;GS LINES – TRANSPORTES MARÍTIMOS LDA;;511;0;8199;20.6;0;4;CS;Mon Jan 01 00:00:00 GMT 2007;698
PTLIS123002257;""04012023002250"";SANTA MARIA MANUELA;5312628;2023-12-07 09:08;2024-03-31 20:00;Portugal;Embarcação à vela de treino;Navex - Emp. Portuguesa De Navegação, S.A.;Portos Desconhecidos / Alto Mar (Ao Largo);Santa Cruz De Tenerife;Movimento de Passageiros;CAIS DO ORIENTE;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;""211128595"";navex-lisboa@navex.pt;CSKO;607;0;62.64;4.5;PTM6E;Recheio Cash & Carry, S.A.;;765;390;142;9.94;13;1;CS;Mon May 10 00:00:00 GMT 1937;0
PTLIS121002212;""04012021001664"";PORTO DA CASA;2223090;2021-12-16 18:51;2024-12-31 21:00;Portugal;Qualquer estrutura flutuante;ICC - Agência de Navegação e Transportes Terrestres, S.A.;Portos Desconhecidos / Alto Mar (Ao Largo);Lome;Descarga;CARREIRAS DE REPARAÇÃO NAVAL - SOMAGUE;Av. do Atlântico, nr.16,  3ºpiso, sala 3.03;""00351218686714"";Operations-lisb@icc-navegacao.pt;LX-309-AL;1158;0;60.95;1;PTLIS;SOMAGUE - ENGENHARIA, SA;;78;0;2700;18.3;0;5;CA;Sat Jan 01 00:00:00 GMT 1977;0
PTLIS123000114;""04012023000116"";VAROSA;2223853;2023-04-06 09:51;2024-12-31 20:00;Portugal;Flat-bottomed vessel with a flat deck.;ICC - Agência de Navegação e Transportes Terrestres, S.A.;Portos Desconhecidos / Alto Mar (Ao Largo);Sines;Reparação em Estaleiro;CARREIRAS DE REPARAÇÃO NAVAL - SOMAGUE;Av. do Atlântico, nr.16,  3ºpiso, sala 3.03;""00351218686714"";Operations-lisb@icc-navegacao.pt;2223853;670;0;55.02;1.2;PTLIS;SOMAGUE-ENGENHARIA, SA;;724;850;850;11.02;0;5;C69;undefined;0
PTLIS122001615;""04012022001596"";SACOR II;9630884;2022-09-23 11:34;2024-12-31 23:30;Portugal;Petroleiro para carregamento de crude;Navex - Emp. Portuguesa De Navegação, S.A.;Portos Desconhecidos / Alto Mar (Ao Largo);Sines;Estacionamento em Cais;EST.ASSIST.NAVAL PORTO LISBOA;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;""211128595"";navex-lisboa@navex.pt;CSGB2;1615;0;74.37;4;PTLIS;SACOR MARITIMA;;531;0;2500;14;0;2;;Sun Jan 01 00:00:00 GMT 2012;0
PTLIS123002305;""04012023002297"";QUEEN VICTORIA;9320556;2023-12-19 07:09;2023-12-20 16:30;Bermudas;Cruzeiro;James Rawes Navegação, Lda;Southampton;Valencia;Turismo;CAIS DE STª APOLONIA/TERMINAL DE PASSAGEIROS;Av. 24 de Julho, 126 1º Esq;""213470231"";operations@jamesrawes.pt;ZCEF3;90746;0;294;8;BMBDA;P&O CRUISES;;591;0;7685;32.25;29.5;1;CS;Wed Aug 22 00:00:00 GMT 2007;0
PTLIS123002146;""04012023002139"";BAIA DO SEIXAL;9813486;2023-11-19 05:50;2024-12-31 23:00;Portugal;Navio rebocador de outros navios;Navex - Emp. Portuguesa De Navegação, S.A.;Portos Desconhecidos / Alto Mar (Ao Largo);Aveiro;Tráfego Local;CAIS DE STª APOLONIA/MONTANTE;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;""211128595"";navex-lisboa@navex.pt;CSZD9;111;0;16.5;2.4;;ETE FLUVIAL;;73;0;213;8.8;0;27a710db-e923-4779-a1f2-134ad8566785;ISENTO;Fri Jan 01 00:00:00 GMT 2016;0
PTLIS122001565;""04012022001547"";RAIO;2223288;2005-01-20 17:25;2024-12-31 20:30;Portugal;Flat-bottomed vessel with a flat deck.;Navex - Emp. Portuguesa De Navegação, S.A.;Gibraltar;Lisboa;Serviço da Autoridade Portuária ou Licenciados;CAIS DO POÇO DO BISPO / TMPB;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;""211128595"";navex-lisboa@navex.pt;;2304;0;83.4;2;PTLIS;SOCARMAR;;724;2215;0;15.8;0;5;;undefined;0
PTLIS122001568;""04012022001549"";RITA;2223294;2005-01-20 17:25;2024-12-31 20:30;Portugal;Flat-bottomed vessel with a flat deck.;Navex - Emp. Portuguesa De Navegação, S.A.;Gibraltar;Lisboa;Serviço da Autoridade Portuária ou Licenciados;CAIS DO POÇO DO BISPO / TMPB;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;""211128595"";navex-lisboa@navex.pt;;2264;0;79.4;2;PTLIS;SOCARMAR;;724;0;0;0;0;5;;undefined;0
PTLIS123001211;""04012023001210"";PORTO DE AVEIRO;2223507;2023-07-07 13:30;2024-12-31 20:00;Portugal;Qualquer estrutura flutuante;ICC - Agência de Navegação e Transportes Terrestres, S.A.;Portos Desconhecidos / Alto Mar (Ao Largo);Praia Da Vitoria;Reparação em Estaleiro;CARREIRAS DE REPARAÇÃO NAVAL - SOMAGUE;Av. do Atlântico, nr.16,  3ºpiso, sala 3.03;""00351218686714"";Operations-lisb@icc-navegacao.pt;LX151AL;324;0;41.1;0.7;PTLIS;SOMAGUE - ENGENHARIA, SA;;78;401;0;12.2;0;5;;Mon Oct 01 00:00:00 GMT 1990;0
PTLIS121001963;""04012021001414"";PARCEL;2224123;2021-10-25 03:31;2024-12-31 14:40;Portugal;Qualquer estrutura flutuante;Boluda Lines Portugal;Setúbal;Setúbal;Trem de Reboque - Rebocador Nacional;PONTE CAIS DE ALVERCA;Alameda dos Oceanos, 25 escritorio nº 6;""927735062"";tomas.freire@boluda.com.es;LX-86-AL;166;0;30.2;1;PTLIS;SUBMARIT, SUBEMPREITADAS E TRABALHOS MARITIMOS LDA;;78;49;166;9.45;0;5;;undefined;0
PTLIS123002336;""04012023002333"";NAVIGATOR GRACE;9531478;2023-12-18 17:09;2023-12-20 06:00;Libéria;Tanque / Gás Petróleo Liquefeito (LPG);Pinto Basto IV - Serviços Marítimos, Lda.;Bethoula;Bethoula;Descarga;TERM GRANEIS ALKION/BARREIRO;AV 24 DE JULHO 1-D;""269862598"";agency.sines@pintobasto.com;D5DP9;16823;0;154.17;8.2;LRMLW;NAVIGATOR GRACE LLC;;541;0;16687;25.52;0;1;CS;Wed Aug 11 00:00:00 GMT 2010;0
PTLIS121001264;""04012021000722"";PORTUGS CASCAIS;8113657;2021-06-08 12:04;2023-12-31 15:00;Portugal;Navio rebocador de outros navios;Afonso H. Oneill, Lda.;Portos Desconhecidos / Alto Mar (Ao Largo);Setúbal;Trem de Reboque - Rebocador Nacional;ECLUSA/TERMINAL DE PASSAGEIROS ROCHA;Rua Ocidental do Mercado, n.º 57, 1.º esq.;""269633175"";oneill@oneill.pt;CSZH8;254;0;28;2.5;PTLIS;PORTUGS II - REBOQUES MARITIMOS SA;;73;0;497;9;0;5;OUTROS;Fri Jan 01 00:00:00 GMT 1982;0
PTLIS123002337;""04012023002334"";RUNA;9361328;2023-12-16 15:34;2023-12-20 23:30;Chipre;Carga Geral / Contentores;Navex - Emp. Portuguesa De Navegação, S.A.;Gijon;Leixões;Carga;CAIS DO BEATO / TMB;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;""211128595"";navex-lisboa@navex.pt;5BXL5;3990;0;110.78;5.5;;Runa Hermann Lohmann;;505;0;6000;14;0;f665b95e-c7a5-4bb3-b064-c6deb2f28052;PRCS 980;Mon Jan 01 00:00:00 GMT 2007;0
PTLIS123001835;""04012023001831"";MONTE DA LUZ;9710153;2023-10-06 18:39;2024-01-30 23:00;Portugal;Navio rebocador de outros navios;L. Branco – Navegação e Trânsitos, Lda.;Portos Desconhecidos / Alto Mar (Ao Largo);Setúbal;Reparação em Estaleiro;ECLUSA/TERMINAL DE PASSAGEIROS ROCHA;Rua de Santo Amaro, n.º 17 A;""26548465"";info@l-branco.com;CUIM6;495;0;38;3;PTSET;REBONAVE - REBOQUES E ASSISTÊNCIA NAVAL;;73;0;0;10.8;12;1;CS;Fri Nov 01 00:00:00 GMT 2013;0
PTLIS123002328;""04012023002320"";CELTIC NAVIGATOR;9256169;2023-12-18 23:22;2023-12-19 20:00;Reino Unido;Carga Geral;Arenthern - Agência de Navegação Lda;Garston;Setúbal;Carga;CAIS DO POÇO DO BISPO / TMPB;Edifício Lisboa Oriente, Av. Infante D. Henrique, 333, Edifício 4 Piso 5, Escritório 62;""211531178"";ssantos@incargo.pt;MEVN9;2954;0;89.98;3.6;GBCDF;Zeybe Denizcilik ve Ticaret;;50;0;4327;15.2;0;1;CS;Tue Jan 01 00:00:00 GMT 2002;126
PTLIS122000148;""04012022000148"";MONTEMURO;9438937;2022-01-29 07:23;2024-12-31 23:00;Portugal;Navio rebocador de outros navios;PMS - PORTUGUESE MARIT AGENCY LDA;Setúbal;Aveiro;Trem de Reboque - Rebocador Nacional;ECLUSA/TERMINAL DE PASSAGEIROS ROCHA;Rua Amélia Rey Colaço, Nº 40, Sala 25;""213405484"";jprata@pmsagency.pt;CSYU4;318;0;27.7;3;PTSET;REBONAVE-REBOQUES ASSISTENCIA NAVAL SA;;73;0;159;9.8;12;5;CS;undefined;0
PTLIS122001443;""04012022001422"";MONTENOVO;9276119;2022-08-26 02:10;2024-05-04 00:00;Portugal;Navio rebocador de outros navios;PORTSHIP Unipessoal, Lda.;Setúbal;Setúbal;Trem de Reboque - Rebocador Estrangeiro;ECLUSA/TERMINAL DE PASSAGEIROS ROCHA;;"""";;CSDT;239;71;28.4;4;PTSET;REBONAVE-REBOQUES ASSISTENCIA NAVAL SA;;73;0;355;8.6;12;2;CA;Sun Jun 15 00:00:00 GMT 2003;0
PTLIS123002329;""04012023002321"";FRI KVAM;9211078;2023-12-18 14:36;2023-12-19 23:00;Chipre;Graneleiro / Cereais;CINTIA NAVE-AFRETAMENTOS MARITIMOS,UNIPESSOAL, LDA;Dublin;Sevilla;Carga;TERM GRANEIS SOVENA/PALENÇA;RUA ALTO DA BONITA NR 45 R/C  CHAO DE MENINOS;""218439002"";cintia.nave@mail.telepac.pt;5BAG4;2858;0;89.75;5.13;CYLMS;Fri Kvam AS;;501;0;4909;13.6;12;1;CS;Sat Jan 01 00:00:00 GMT 2000;0
PTLIS123002289;""04012023002281"";FERRO;9005730;2023-12-16 08:39;2023-12-19 22:00;Barbados;Carga Geral;PORTSHIP Unipessoal, Lda.;Inverkeithing;Carboneras;Carga;CAIS DO POÇO DO BISPO / TMPB;;"""";;C6QJA;1986;0;88.15;3.1;BSNAS;;;50;1246;3504;14.18;12;1;;Fri Mar 01 00:00:00 GMT 1991;0
PTLIS123002166;""04012023002159"";SSI RELIANCE;9655224;2023-12-01 18:51;2023-12-30 23:30;Ilhas Marshall;Graneleiro / Cereais;Navex - Emp. Portuguesa De Navegação, S.A.;Portos Desconhecidos / Alto Mar (Ao Largo);Paranagua;Descarga;TERM CONTENT ALCANTARA/LISCONT-JUSANTE;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;""211128595"";navex-lisboa@navex.pt;V7HN6;24163;0;180;10;MHMAJ;Stallion Eight Shipping;;501;0;36058;30;0;1;;Mon Feb 02 00:00:00 GMT 2015;0
